SPECIES_CODE,SCIENTIFIC_NAME,COMMON_NAME1,COMMON_NAME2,COMMON_NAME3,COMMON_NAME4,RESOURCE_ID
ABAL,Abies alba Mill.,silver fir,European silver fir,,,
ABAM,Abies amabilis Douglas ex J. Forbes,Pacific silver fir,,,,
ABBA,Abies balsamea (L.) Mill.,balsam fir,,,,
ABBN,Abies bornmulleriana Mattf.,Bornmuller's fir,,,,
ABBO,Abies borisii-regis Mattf.,Bulgarian fir,King Boris fir,,,
ABBR,Abies bracteata (D.Don) Nutt.,bristlecone fir,,,,
ABCE,Abies cephalonica Loudon,Greek fir,,,,
ABCH,Abies cheniensis van Tiegh,Chensien fir,,,,
ABCI,Abies cilicica (Ant. et Kotschy) Carr.,Cilician fir,,,,
ABCO,Abies concolor (Gordon) Lindl. ex Hildebr.,white fir,,,,
ABEQ,Abies equi-trojani Aschers. et Sint.,,,,,
ABFI,Abies firma Sieb. et Zucc.,Japanese fir,Momi fir,,,
ABFO,Abies forestii Rogers,Chinese fir,,,,
ABFR,Abies fraseri (Pursh) Poir.,Fraser fir,,,,
ABFX,Abies faxoniana,,,,,
ABGR,Abies grandis (Dougl. ex D. Don) Lindl.,grand fir,giant fir,,,
ABHO,Abies holophylla Maxim.,Manchurian fir,,,,
ABKA,Abies kawakamii (Hayata) Ito,Taiwan fir,,,,
ABKO,Abies koreana Wils.,Korean fir,,,,
ABLA,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,corkbark fir,,,
ABMA,Abies magnifica A. Murray,California red fir,,,,
ABMC,Abies marocana Trabut.,Moroccan fir,,,,
ABMR,Abies mariessi Mast.,Marie's fir,,,,
ABNB,Abies nebrodensis (Lojac.) Mattei,Sicilian fir,,,,
ABNE,Abies nephrolepis Maxim.,East Siberian fir,,,,
ABNO,Abies nordmanniana (Steven) Spach,Caucasian fir,,,,
ABNU,Abies numidica De Lannoy ex. Carr.,Algerian fir,,,,
ABPI,Abies pindrow (Royle ex D. Don) Royle,Himalayan silver fir,West Himalayan fir,,,
ABPN,Abies pinsapo Boiss.,Spanish fir,,,,
ABPR,Abies procera Rehder,noble fir,,,,
ABRC,Abies recurvata Mast.,Min fir,,,,
ABRE,Abies religiosa Schlecht.,Mexican fir,sacred fir,,,
ABSA,Abies sachalinensis var. mayriana Mirabe & Kudo,Sachalin fir,todo,,,
ABSB,Abies spectabilis (D. Don) Spach,silver fir,East Himalayan fir,,,
ABSI,Abies sibirica Ledeb.,Siberian fir,,,,
ABSP,Abies spp. Mill.,fir,,,,
ABSQ,Abies squamata Mast.,Flaky fir,,,,
ABVI,Abies vietchii Lindl.,Vietch's silver fir,,,,
ACAL,Acacia alpina F.Muell.,,,,,
ACCA,Acer campestre L.,hedge maple,field maple,feldahorn,,
ACGI,Acacia giraffae,,,,,
ACHO,Acacia hotwittii,,,,,
ACME,Acacia melanoxylon R.Br.,blackwood,,,,
ACNE,Acer negundo L.,boxelder,ash-leaved maple,,,
ACNI,Acacia nilotica (L.) Willd. ex Delile,gum arabic tree,,,,
ACPE,Acer pensylvanicum L.,striped maple,,,,
ACPL,Acer platanoides L.,Norway maple,,,,
ACRA,Acacia raddiana,,,,,
ACRU,Acer rubrum L.,red maple,,,,
ACSA,Acer saccharinum L.,silver maple,,,,
ACSC,Acer spicatum Lam.,mountain maple,,,,
ACSP,Acer spp. L.,maple,,,,
ACTU,Acer turkestanica Pax,,,,,
ADDI,Adansonia digitata,baobab,monkey bread tree,,,
ADHO,Adesmia horrida Gill.,,,,,
ADUS,Adesmia uspallatensis Gill.,,,,,
AEPU,Aextoxicon punctatum,olivillo,tique,,,
AFAF,Afzelia africana,,,,,
AFQU,Afzelia quanzensis Welw.,afzelia mambokofi,chanfuta,mbembakofi,,
AGMA,Agathis macrophylla,Fijian kauri,,,,
AGMO,Agathis moorei Mast.,,,,,
AGOV,Agathis ovata Warb.,kauri,,,,
AGPA,Agathis palmerstoni,,,,,
AGVI,Agathis vitiensis (Seeman) Benth. & Hook.f. ex Drake,,,,,
AIAL,Ailanthus altissima (Mill.) Swingle,Tree of Heaven,,,,
